c1,c2,c1_wins,c2_wins,total_games
Bowser_Jr,Joker,1,1,2
Bowser_Jr,Ken,1,2,3
Bowser_Jr,King_Dedede,0,0,0
Bowser_Jr,King_K_Rool,0,0,0
Bowser_Jr,Kirby,0,0,0
Bowser_Jr,Link,0,0,0
Bowser_Jr,Little_Mac,0,0,0
Bowser_Jr,Lucario,0,0,0
Bowser_Jr,Lucas,3,2,5
Bowser_Jr,Lucina,0,0,0
Bowser_Jr,Luigi,0,0,0
Bowser_Jr,Mario,1,2,3
Bowser_Jr,Marth,0,0,0
Bowser_Jr,Mega_Man,2,1,3
Bowser_Jr,Meta_Knight,0,0,0
Bowser_Jr,Mewtwo,0,0,0
Bowser_Jr,Mii_Brawler,0,0,0
Bowser_Jr,Mii_Gunner,0,0,0
Bowser_Jr,Mii_Swordfighter,0,0,0
Bowser_Jr,Mr_Game_&_Watch,0,0,0
Bowser_Jr,Ness,0,0,0
Bowser_Jr,Olimar,0,0,0
Bowser_Jr,Pac-Man,0,0,0
Bowser_Jr,Palutena,0,6,6
Bowser_Jr,Peach,0,0,0
Bowser_Jr,Pichu,0,0,0
Bowser_Jr,Pikachu,3,0,3
Bowser_Jr,Piranha_Plant,0,0,0
Bowser_Jr,Pit,0,0,0
Bowser_Jr,Pokemon_Trainer,0,0,0
Bowser_Jr,ROB,0,0,0
Bowser_Jr,Richter,0,0,0
Bowser_Jr,Ridley,0,0,0
Bowser_Jr,Robin,0,0,0
Bowser_Jr,Rosalina,0,0,0
Bowser_Jr,Roy,2,1,3
Bowser_Jr,Ryu,0,0,0
Bowser_Jr,Samus,0,0,0
Bowser_Jr,Sheik,0,0,0
Bowser_Jr,Shulk,0,0,0
Bowser_Jr,Simon,0,0,0
Bowser_Jr,Snake,1,3,4
Bowser_Jr,Sonic,0,0,0
Bowser_Jr,Terry,0,0,0
Bowser_Jr,Toon_Link,0,0,0
Bowser_Jr,Villager,0,0,0
Bowser_Jr,Wario,0,0,0
Bowser_Jr,Wii_Fit_Trainer,0,0,0
Bowser_Jr,Wolf,0,0,0
Bowser_Jr,Yoshi,0,0,0
Bowser_Jr,Young_Link,0,0,0
Bowser_Jr,Zelda,0,0,0
Bowser_Jr,Zero_Suit_Samus,0,2,2
Captain_Falcon,Chrom,3,2,5
Captain_Falcon,Cloud,2,1,3
Captain_Falcon,Corrin,0,0,0
Captain_Falcon,Daisy,5,2,7
Captain_Falcon,Dark_Pit,0,0,0
Captain_Falcon,Dark_Samus,0,0,0
Captain_Falcon,Diddy_Kong,0,0,0
Captain_Falcon,Donkey_Kong,0,0,0
Captain_Falcon,Dr_Mario,0,0,0
Captain_Falcon,Duck_Hunt,0,0,0
Captain_Falcon,Falco,0,0,0
Captain_Falcon,Fox,3,3,6
Captain_Falcon,Ganondorf,0,0,0
Captain_Falcon,Greninja,2,0,2
Captain_Falcon,Hero,0,0,0
Captain_Falcon,Ice_Climbers,0,0,0
Captain_Falcon,Ike,2,0,2
Captain_Falcon,Incineroar,0,0,0
Captain_Falcon,Inkling,2,3,5
Captain_Falcon,Isabelle,0,0,0
Captain_Falcon,Jigglypuff,0,0,0
Captain_Falcon,Joker,1,5,6
Captain_Falcon,Ken,0,0,0
Captain_Falcon,King_Dedede,0,0,0
Captain_Falcon,King_K_Rool,0,0,0
Captain_Falcon,Kirby,0,0,0
Captain_Falcon,Link,6,2,8
Captain_Falcon,Little_Mac,0,0,0
Captain_Falcon,Lucario,0,0,0
Captain_Falcon,Lucas,0,2,2
Captain_Falcon,Lucina,0,1,1
Captain_Falcon,Luigi,0,0,0
Captain_Falcon,Mario,4,5,9
Captain_Falcon,Marth,2,1,3
Captain_Falcon,Mega_Man,4,5,9
Captain_Falcon,Meta_Knight,0,0,0
Captain_Falcon,Mewtwo,0,2,2
Captain_Falcon,Mii_Brawler,0,0,0
Captain_Falcon,Mii_Gunner,0,0,0
Captain_Falcon,Mii_Swordfighter,0,0,0
Captain_Falcon,Mr_Game_&_Watch,0,3,3
Captain_Falcon,Ness,3,0,3
Captain_Falcon,Olimar,1,3,4
Captain_Falcon,Pac-Man,3,0,3
Captain_Falcon,Palutena,2,7,9
Captain_Falcon,Peach,3,9,12
Captain_Falcon,Pichu,2,2,4
Captain_Falcon,Pikachu,0,2,2
Captain_Falcon,Piranha_Plant,0,0,0
Captain_Falcon,Pit,0,0,0
Captain_Falcon,Pokemon_Trainer,2,7,9
Captain_Falcon,ROB,2,1,3
Captain_Falcon,Richter,2,0,2
Captain_Falcon,Ridley,0,0,0
Captain_Falcon,Robin,0,0,0
Captain_Falcon,Rosalina,0,4,4
Captain_Falcon,Roy,3,3,6
Captain_Falcon,Ryu,0,0,0
Captain_Falcon,Samus,0,0,0
Captain_Falcon,Sheik,0,0,0
Captain_Falcon,Shulk,0,0,0
Captain_Falcon,Simon,0,0,0
Captain_Falcon,Snake,3,0,3
Captain_Falcon,Sonic,0,2,2
Captain_Falcon,Terry,0,0,0
Captain_Falcon,Toon_Link,0,2,2
Captain_Falcon,Villager,0,0,0
Captain_Falcon,Wario,5,0,5
Captain_Falcon,Wii_Fit_Trainer,0,0,0
Captain_Falcon,Wolf,0,0,0
Captain_Falcon,Yoshi,0,0,0
Captain_Falcon,Young_Link,3,2,5
Captain_Falcon,Zelda,2,1,3
Captain_Falcon,Zero_Suit_Samus,5,8,13
Chrom,Cloud,3,2,5
Chrom,Corrin,0,0,0
Chrom,Daisy,0,0,0
Chrom,Dark_Pit,0,0,0
